label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Box,109,368,190,78,dp_img2023_02_21_21_00_48_375680%.jpeg,1280,720
Oakie,391,425,88,66,dp_img2023_02_21_21_00_48_375680%.jpeg,1280,720
Kiki,1197,416,83,68,dp_img2023_02_21_21_00_48_375680%.jpeg,1280,720
Cube,799,432,50,50,dp_img2023_02_21_21_00_48_375680%.jpeg,1280,720
Box,118,372,181,78,dp_img2023_02_21_21_00_55_160627%.jpeg,1280,720
Oakie,204,428,97,66,dp_img2023_02_21_21_00_55_160627%.jpeg,1280,720
Cube,793,445,53,38,dp_img2023_02_21_21_00_55_160627%.jpeg,1280,720
Kiki,1138,420,121,63,dp_img2023_02_21_21_00_55_160627%.jpeg,1280,720
Oakie,200,432,91,57,dp_img2023_02_21_21_01_18_999672%.jpeg,1280,720
Box,114,368,187,83,dp_img2023_02_21_21_01_18_999672%.jpeg,1280,720
Cube,802,440,48,51,dp_img2023_02_21_21_01_18_999672%.jpeg,1280,720
Kiki,1137,414,133,72,dp_img2023_02_21_21_01_18_999672%.jpeg,1280,720
Oakie,195,428,110,63,dp_img2023_02_21_21_01_43_214914%.jpeg,1280,720
Kiki,1140,416,122,65,dp_img2023_02_21_21_01_43_214914%.jpeg,1280,720
Cube,799,440,50,41,dp_img2023_02_21_21_01_43_214914%.jpeg,1280,720
Box,118,368,177,80,dp_img2023_02_21_21_01_43_214914%.jpeg,1280,720
Oakie,79,410,101,63,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Box,198,368,149,60,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Hugo,290,410,89,60,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Kiki,437,407,74,57,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Muddles,583,407,63,54,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Cube,741,428,35,30,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Slush,1037,407,74,63,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Binky,791,410,75,48,dp_img2023_02_21_21_02_07_947617%.jpeg,1280,720
Box,200,366,146,56,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Oakie,1078,404,62,77,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Binky,850,410,59,56,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Muddles,689,416,66,42,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Kiki,510,413,85,51,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Slush,228,411,89,57,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Hugo,329,411,104,97,dp_img2023_02_21_21_08_27_940577%.jpeg,1280,720
Box,200,366,149,56,dp_img2023_02_21_21_09_04_445721%.jpeg,1280,720
Cube,409,428,41,27,dp_img2023_02_21_21_09_04_445721%.jpeg,1280,720
Oakie,530,402,48,42,dp_img2023_02_21_21_09_04_445721%.jpeg,1280,720
Box,198,368,149,59,dp_img2023_02_21_21_09_34_206955%.jpeg,1280,720
Cube,491,416,33,38,dp_img2023_02_21_21_09_34_206955%.jpeg,1280,720
Oakie,631,401,62,54,dp_img2023_02_21_21_09_34_206955%.jpeg,1280,720
Box,197,371,94,59,dp_img2023_02_21_21_09_43_881996%.jpeg,1280,720
Oakie,698,405,38,47,dp_img2023_02_21_21_09_43_881996%.jpeg,1280,720
Hugo,186,401,104,51,dp_img2023_02_21_21_09_47_957360%.jpeg,1280,720
Box,200,363,94,65,dp_img2023_02_21_21_09_47_957360%.jpeg,1280,720
Oakie,696,405,38,47,dp_img2023_02_21_21_09_47_957360%.jpeg,1280,720
Box,194,368,94,54,dp_img2023_02_21_21_09_53_105237%.jpeg,1280,720
Hugo,198,404,89,51,dp_img2023_02_21_21_09_53_105237%.jpeg,1280,720
Oakie,443,432,104,72,dp_img2023_02_21_21_09_53_105237%.jpeg,1280,720
Binky,678,401,89,63,dp_img2023_02_21_21_09_53_105237%.jpeg,1280,720
Box,221,368,72,71,dp_img2023_02_21_21_09_58_883555%.jpeg,1280,720
Hugo,198,398,88,54,dp_img2023_02_21_21_09_58_883555%.jpeg,1280,720
Ball,272,440,50,41,dp_img2023_02_21_21_09_58_883555%.jpeg,1280,720
Oakie,440,431,106,71,dp_img2023_02_21_21_09_58_883555%.jpeg,1280,720
